zenith_bin,-120.0,-110.0,-100.0,-90.0,-80.0,-70.0,-60.0,-50.0,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0
7.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12.5,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
17.5,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
22.5,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
27.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
32.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
37.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
42.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
47.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
52.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
57.5,,,0.247,0.232,0.616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.669,0.174,0.662,1.0,1.0,1.0,1.0,,
62.5,,,0.314,0.292,0.72,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.646,0.139,0.654,1.0,1.0,1.0,1.0,,
67.5,,1.0,0.367,0.292,0.646,1.0,1.0,1.0,1.0,,,,,,,,0.65,0.147,0.653,1.0,1.0,1.0,1.0,,
72.5,,0.618,0.474,0.322,0.676,1.0,1.0,1.0,1.0,,,,,,,,0.109,0.135,0.634,1.0,1.0,1.0,1.0,1.0,
77.5,,1.001,0.632,0.452,0.781,1.0,1.0,1.0,,,,,,,,,,0.139,0.62,1.0,1.0,1.0,1.0,1.0,
82.5,1.0,1.222,0.949,0.671,0.809,1.0,1.0,1.0,,,,,,,,,,0.136,0.709,1.0,1.0,1.0,1.0,1.0,
87.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
